scan_time,symbol,dna,max_gain,verdict
01-17 00:00,ASRUSDT,birikim_fazi|coiling|harmony_L2|sleeping|mid_zone|building_energy,%4.45,FAIL (Fake)
01-17 00:00,PHBUSDT,derin_dip|micro_squeeze|harmony_L3|sleeping|deep_valley|depleting_energy,%2.10,FAIL (Fake)
01-17 00:00,FIOUSDT,birikim_fazi|micro_squeeze|harmony_L2|sleeping|mid_zone|building_energy,%1.81,FAIL (Fake)
01-17 00:00,LAUSDT,birikim_fazi|tight_squeeze|harmony_L1|sleeping|mid_zone|building_energy,%2.25,FAIL (Fake)
01-17 00:00,AUCTIONUSDT,birikim_fazi|micro_squeeze|harmony_L3|sleeping|mid_zone|depleting_energy,%4.14,FAIL (Fake)
01-17 00:00,VIRTUALUSDT,birikim_fazi|coiling|harmony_L1|sleeping|mid_zone|depleting_energy,%0.07,FAIL (Fake)
01-17 04:00,RESOLVUSDT,birikim_fazi|micro_squeeze|harmony_L2|sleeping|deep_valley|depleting_energy,%20.56,FAIL (Fake)
01-17 04:00,FIOUSDT,birikim_fazi|micro_squeeze|harmony_L2|sleeping|mid_zone|building_energy,%2.34,FAIL (Fake)
01-17 04:00,MEUSDT,derin_dip|micro_squeeze|harmony_L2|sleeping|deep_valley|building_energy,%50.86,FAIL (Fake)
01-17 04:00,SOMIUSDT,derin_dip|coiling|harmony_L0|sleeping|deep_valley|building_energy,%2.54,FAIL (Fake)
01-17 04:00,AUCTIONUSDT,birikim_fazi|micro_squeeze|harmony_L3|sleeping|mid_zone|depleting_energy,%4.33,FAIL (Fake)
01-17 08:00,SCRUSDT,derin_dip|tight_squeeze|harmony_L3|sleeping|deep_valley|building_energy,%2.38,FAIL (Fake)
01-17 08:00,ASRUSDT,birikim_fazi|coiling|harmony_L2|sleeping|mid_zone|building_energy,%2.51,FAIL (Fake)
01-17 08:00,FIOUSDT,birikim_fazi|micro_squeeze|harmony_L2|sleeping|mid_zone|building_energy,%1.55,FAIL (Fake)
01-17 08:00,MEUSDT,derin_dip|micro_squeeze|harmony_L2|sleeping|deep_valley|building_energy,%49.37,FAIL (Fake)
01-17 08:00,HIGHUSDT,derin_dip|tight_squeeze|harmony_L3|sleeping|deep_valley|building_energy,%24.67,SILVER
01-17 08:00,AUCTIONUSDT,birikim_fazi|micro_squeeze|harmony_L3|sleeping|mid_zone|depleting_energy,%3.03,FAIL (Fake)
01-17 08:00,XPLUSDT,derin_dip|loose|harmony_L1|sleeping|deep_valley|depleting_energy,%0.07,FAIL (Fake)
01-17 08:00,RENDERUSDT,birikim_fazi|micro_squeeze|harmony_L1|sleeping|mid_zone|depleting_energy,%1.61,FAIL (Fake)
