Date,DailyGate,Cancel,FinalDecision,Reason,TriggerCount,TriggerBurst,Hit_10
2025-12-15T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-16T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-17T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-18T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-19T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-20T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-21T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-22T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-23T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-24T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-25T00:00:00+00:00,False,False,NO,Wick_Ratio_HIGH_VETO,0,0,NO
2025-12-26T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-27T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-28T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-29T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-30T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-31T00:00:00+00:00,False,False,NO,ATR_Norm_LOW_VETO,0,0,YES
2026-01-01T00:00:00+00:00,False,False,NO,Energy_Gap_HIGH_VETO,0,0,NO
2026-01-02T00:00:00+00:00,False,False,NO,Energy_Gap_HIGH_VETO,0,0,NO
2026-01-03T00:00:00+00:00,False,False,NO,ATR_Norm_LOW_VETO,0,0,NO
2026-01-04T00:00:00+00:00,False,False,NO,ATR_Norm_LOW_VETO,0,0,NO
2026-01-05T00:00:00+00:00,False,False,NO,ATR_Norm_LOW_VETO,0,0,NO
2026-01-06T00:00:00+00:00,False,False,NO,ATR_Norm_LOW_VETO,0,0,NO
2026-01-07T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-08T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-09T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-10T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-11T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-12T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-13T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-14T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-15T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-16T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-17T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-18T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-19T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-20T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2026-01-21T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=5, Burst=3)",5,3,NO
2026-01-22T00:00:00+00:00,True,True,NO,WICK_4H (0.36),0,0,NO
2026-01-23T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2026-01-24T00:00:00+00:00,True,True,NO,WICK_4H (0.42),0,0,NO
2026-01-25T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2026-01-26T00:00:00+00:00,True,True,NO,WICK_4H (0.46),0,0,NO
2026-01-27T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-28T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2026-01-29T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-30T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-01-31T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2026-02-01T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2026-02-02T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2026-02-03T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2026-02-04T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2026-02-05T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
